"","t0_wt_mla6_log2FoldChange","t16_wt_mla6_log2FoldChange","t20_wt_mla6_log2FoldChange","t24_wt_mla6_log2FoldChange","t32_wt_mla6_log2FoldChange","t48_wt_mla6_log2FoldChange"
"HORVU.MOREX.r2.7HG0537930",1.48541194475618,0.961785538507377,-0.961785538507381,-2.24239855267044e-15,0,0.961785538507372
"HORVU.MOREX.r2.4HG0332170",-0.96179521564175,0.584962706026436,-0.514573315752509,-0.777607788053637,-1.49185321162863,-1.35755211815152
"HORVU.MOREX.r2.3HG0252610",2.44268897394423,0.96179367404171,1.8073518836611,2.44268839998349,0.895933343927331,-1.85772701796904
"HORVU.MOREX.r2.6HG0500210",-0.0336555537396758,-0.0318087378339016,0.219876820752351,0.0100976441874488,-0.0163413804883646,0.0286983156504134
"HORVU.MOREX.r2.6HG0471020",-0.0512570171314938,0.236243851076396,0.607891038178869,0.0251421934091462,0.00146095711390254,-0.439649114420204
"HORVU.MOREX.r2.6HG0464870",-0.961795221551057,2.93859925643322,3.44122675884949,1.6698513338159,1.5849624692075,1.19264506424383
"HORVU.MOREX.r2.6HG0464440",-0.0290894724575322,-0.0776065688188825,0.215658707683097,0.0756968764961696,0.0180161432310853,-0.489023072066778
"HORVU.MOREX.r2.2HG0083940",0,0,0.96179228765854,-0.961792287658544,-0.895932386087553,3.06585145917678
"HORVU.MOREX.r2.1HG0068690",1.06904126719735,-0.999995777766159,-1.7369636323426,-1.58496064511337,-1.89592783376052,2.00945951775233
"HORVU.MOREX.r2.2HG0153250",-1.33466964961092,-0.0627863184323636,-1.44006614568317,-0.506959924655101,0.340228875519842,-0.268887104087644
"HORVU.MOREX.r2.5HG0401910",-0.402371055363719,0.854283102977807,-0.461946204628252,-0.360124387433449,-0.94062136381766,0.641545975763761
"HORVU.MOREX.r2.7HG0550230",-0.895933687362819,-0.999998874256068,-1.48089506397742,-5.76616770686685e-15,0.961794748726069,-0.895933687362828
"HORVU.MOREX.r2.5HG0356570",0.236124299831728,0.146156832976563,0.144389906507412,0.150161743579131,-0.160464668944473,0.229809888286028
"HORVU.MOREX.r2.4HG0335940",9.7704508366355e-15,-0.362569809034857,-0.211504069867174,-0.662964906761422,-1.80735124235804,-0.999999777369161
"HORVU.MOREX.r2.3HG0262580",-2.11547690377846,3.16992404303403,1.42146352075701,1.50106104875221,3.03200999259134,0.636409188170295
"HORVU.MOREX.r2.5HG0422280",0.0596839893871758,-0.264788437902379,-0.411382320614706,-0.216208545341373,-0.0337033029968551,0.156906052197277
"HORVU.MOREX.r2.4HG0338560",1.11282873396732,0.542407355384323,0.203760705469394,1.08297036893879,0.387368509518835,1.66198484694081
"HORVU.MOREX.r2.4HG0278480",-0.999999695708318,0.321927968361005,1.19264418891618,2.58495750774261,0.830074458322354,1.45943072183778
"HORVU.MOREX.r2.2HG0157290",0.263034329559491,0.758991531071109,-0.106915142677962,4.16445445495939e-15,0.485426209300999,0.765534289617836
"HORVU.MOREX.r2.2HG0108260",0,0,1.85761525535031,0.961735307660832,0,-1.8576152553503
"HORVU.MOREX.r2.5HG0404470",0.142198606378963,-0.240634023033204,-0.574483552310107,0.0742564535718778,-0.0731819159708695,0.750995465979571
"HORVU.MOREX.r2.7HG0595310",0.541569864528414,-0.733354265032465,-1.47643770077422,-0.218180133999079,-0.321928042318928,0.750640441439049
"HORVU.MOREX.r2.7HG0582470",-0.0170064248233022,-0.422745582243753,-0.242166650794764,-0.400537916505871,-0.591816152370301,-0.273648070964213
"HORVU.MOREX.r2.3HG0239630",-0.140274509664753,0.199528309060137,0.27735106106273,0.0203009214533933,-0.0669692656395261,-0.030473451932854
"HORVU.MOREX.r2.3HG0202580",0.0258786302149489,-0.0821010751450858,0.624300611258285,0.101445256268103,-0.176156942757273,-1.08746275716224
"HORVU.MOREX.r2.3HG0243900",-0.113656778716538,-0.280107906616972,-1.70043962039029,-0.584962478241167,-0.536052877419313,0.46234319714157
